名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
禾峰发艺,生活服务,美容美发店,美容美发店,凤凰东路与凤凰西路交叉口西100米,陕西省,西安市,阎良区,109.2152185,34.66317486
锦水制冷,生活服务,维修站点,维修站点,凤凰东路与凤凰西路交叉口南100米,陕西省,西安市,阎良区,109.2160792,34.66248137
新形象发艺,生活服务,美容美发店,美容美发店,凤凰村韵达快递对面,陕西省,西安市,阎良区,109.2142479,34.66297401
雅美渲美容美体养生会所,生活服务,美容美发店,美容美发店,凤凰东路与凤凰西路交叉口南100米,陕西省,西安市,阎良区,109.2160992,34.6622566
魅力金剪,生活服务,美容美发店,美容美发店,凤凰东路与凤凰西路交叉口西150米,陕西省,西安市,阎良区,109.2149674,34.66314263
美丝烫染(凤凰西路),生活服务,美容美发店,美容美发店,凤凰东路与凤凰西路交叉口西150米,陕西省,西安市,阎良区,109.2150254,34.66314668
宁宁专业理发,生活服务,美容美发店,美容美发店,年丰路与阎荆路交叉口西50米,陕西省,西安市,阎良区,109.213835,34.66964752
千丝发艺,生活服务,美容美发店,美容美发店,凤凰东路与凤凰西路交叉口西50米,陕西省,西安市,阎良区,109.2156598,34.66315334
娜娜理发屋,生活服务,美容美发店,美容美发店,年丰路与阎荆路交叉口北100米,陕西省,西安市,阎良区,109.2143974,34.66998082
天姿美发(凤凰西路),生活服务,美容美发店,美容美发店,凤凰西路北50米,陕西省,西安市,阎良区,109.2141818,34.66305287
快快家用电器维修,生活服务,维修站点,维修站点,凤凰西路凤华小区南门26号1幢101室,陕西省,西安市,阎良区,109.2134714,34.66262348
德凡尼造型,生活服务,美容美发店,美容美发店,凤凰新村,陕西省,西安市,阎良区,109.2147492,34.66285565
敏敏发屋(前进西路),生活服务,美容美发店,美容美发店,前进西路北50米,陕西省,西安市,阎良区,109.212507,34.66951017
小蒋专业制冷,生活服务,维修站点,维修站点,凤凰中路铁路50米凤中路1号,陕西省,西安市,阎良区,109.2125917,34.66278836
奇曼发型设计,生活服务,美容美发店,美容美发店,凤凰西路209号附近,陕西省,西安市,阎良区,109.2137625,34.66291054
