名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
中健银座健身(金辉世界城店),体育休闲服务,运动场馆,健身中心,雁塔南路与共建路口东北角金辉环球广场A座4层,陕西省,西安市,雁塔区,108.9616564,34.18142486
汉觞居,体育休闲服务,休闲场所,休闲场所,航天大道北50米,陕西省,西安市,雁塔区,108.9808837,34.17474509
威尔士健身会所,体育休闲服务,运动场馆,健身中心,曲江池东路附近,陕西省,西安市,雁塔区,108.983145,34.17701863
清印瑜伽生活馆,体育休闲服务,体育休闲服务场所,体育休闲服务场所,大华公园3期别墅区23号,陕西省,西安市,雁塔区,108.9814838,34.17922588
运动场,体育休闲服务,运动场馆,运动场所,航天大道北150米,陕西省,西安市,雁塔区,108.9819173,34.17553376
食泉石美庄园,体育休闲服务,休闲场所,休闲场所,110县道与G65包茂高速交叉口东北100米,陕西省,西安市,雁塔区,108.9977153,34.17646157
世外桃源,体育休闲服务,休闲场所,休闲场所,雁引公路与雁翔路交叉口南150米,陕西省,西安市,长安区,109.0112357,34.17479541
杜陵农庄,体育休闲服务,休闲场所,休闲场所,航天大道与雁翔路路口,陕西省,西安市,雁塔区,109.0116773,34.18119008
石羊农庄(杜陵店),体育休闲服务,休闲场所,休闲场所,雁环路3号,陕西省,西安市,雁塔区,109.0145722,34.18137758
陕西飞飞航空运动俱乐部,体育休闲服务,运动场馆,运动场所,遗址生态公园内月亮弯路与汉风南路口向北100米口,陕西省,西安市,雁塔区,109.0252774,34.17885848
荣欣园(汉风北路),体育休闲服务,休闲场所,休闲场所,汉风北路与汉风南路交叉口东南50米,陕西省,西安市,雁塔区,109.0313254,34.18088111
常家湾小赵垂钓园,体育休闲服务,休闲场所,垂钓园,X102常家湾村,陕西省,西安市,灞桥区,109.0584848,34.17394335
雨帽岭竹海山庄,体育休闲服务,休闲场所,休闲场所,伯坊村6组雨帽岭,陕西省,西安市,长安区,109.1266549,34.17754075
卧龙山庄,体育休闲服务,休闲场所,休闲场所,绵竹路,陕西省,西安市,灞桥区,109.1364979,34.18082248
高远探险鲸鱼沟皮划艇基地,体育休闲服务,体育休闲服务场所,体育休闲服务场所,鲸鱼湖,陕西省,西安市,长安区,109.1421884,34.17784445
竹溪假日,体育休闲服务,休闲场所,休闲场所,炮里乡政府北部约1.5公里,陕西省,西安市,长安区,109.1418681,34.17707417
鲸鱼湖度假山庄,体育休闲服务,度假疗养场所,度假村,杨沟路东50米,陕西省,西安市,灞桥区,109.1416376,34.17908915
麋鹿农庄,体育休闲服务,休闲场所,休闲场所,101县道附近,陕西省,西安市,灞桥区,109.1586698,34.18031176
雁鸣谷度假山庄,体育休闲服务,体育休闲服务场所,体育休闲服务场所,,陕西省,西安市,蓝田县,109.1636436,34.17211862
忆童年生态园,体育休闲服务,休闲场所,采摘园,双水村,陕西省,西安市,蓝田县,109.1714443,34.17225822
滋水驿,体育休闲服务,体育休闲服务场所,体育休闲服务场所,灞河蓝田新城北行2公里(滨河东路),陕西省,西安市,蓝田县,109.268304,34.18138086
鸿运来棋牌室(四贤路),体育休闲服务,娱乐场所,棋牌室,四贤路与迎宾北路交叉口东北50米,陕西省,西安市,蓝田县,109.2945588,34.17803049
极兆网吧,体育休闲服务,娱乐场所,网吧,温泉路,陕西省,西安市,蓝田县,109.3078365,34.17416668
爱之歌留守之家,体育休闲服务,体育休闲服务场所,体育休闲服务场所,温泉路与蓝新路北段交叉口东南100米附近,陕西省,西安市,蓝田县,109.3085167,34.17339268
名士钓场,体育休闲服务,休闲场所,垂钓园,101省道安沟村安沟河卫生室东150米,陕西省,西安市,蓝田县,109.4365358,34.17409645
普化镇马楼村凤凰山庄,体育休闲服务,体育休闲服务场所,体育休闲服务场所,101省道南200米,陕西省,西安市,蓝田县,109.4492807,34.17824212
滋水山庄,体育休闲服务,休闲场所,休闲场所,九坝路,陕西省,西安市,蓝田县,109.6984003,34.18178942
昊悦KTV,体育休闲服务,娱乐场所,KTV,侯家村十字路口向东100米(西宝石油旁),陕西省,西安市,周至县,108.1794956,34.16224233
陕西兴华跆拳道,体育休闲服务,运动场馆,跆拳道场馆,二曲路38号附近,陕西省,西安市,周至县,108.197495,34.16274866
周至剧院,体育休闲服务,影剧院,剧场,中心西街与建设北路交叉口西北100米,陕西省,西安市,周至县,108.2093479,34.16271513
铁鹰赛鸽俱乐部,体育休闲服务,娱乐场所,娱乐场所,北环城路与温泉路交叉口南200米,陕西省,西安市,周至县,108.2076213,34.16875011
动力KTV(老城西街),体育休闲服务,娱乐场所,KTV,太白北路3号(周普路),陕西省,西安市,周至县,108.2026473,34.1658503
红树林网吧(周至创业园店),体育休闲服务,娱乐场所,网吧,中心街9号周至剧院内,陕西省,西安市,周至县,108.2094641,34.16260031
天慕音场(云塔广场店),体育休闲服务,娱乐场所,KTV,二曲镇中心西街,陕西省,西安市,周至县,108.20942,34.16263924
顺通网吧(瑞光路),体育休闲服务,娱乐场所,网吧,中心西街与云塔南街交叉口西北150米,陕西省,西安市,周至县,108.2058966,34.16348848
东方网络城,体育休闲服务,娱乐场所,网吧,二曲镇云塔北街13号,陕西省,西安市,周至县,108.2072701,34.16410409
凯诗凯诗瑜伽会馆,体育休闲服务,体育休闲服务场所,体育休闲服务场所,中心西街与瑞光路交叉口东100米,陕西省,西安市,周至县,108.2092126,34.16262399
