名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
陕西君安融资担保有限公司,金融保险服务,金融保险服务机构,金融保险机构,高新区科技路50号金桥国际广场C座23层,陕西省,西安市,雁塔区,108.888169,34.23749266
汇霖金融,金融保险服务,金融保险服务机构,金融保险机构,高新四路创业广场B座404室,陕西省,西安市,雁塔区,108.8889709,34.23703012
西安金泰融投资管理有限公司,金融保险服务,金融保险服务机构,金融保险机构,唐延路1号旺座国际城C座1503室,陕西省,西安市,雁塔区,108.8864681,34.23821268
汇丰银行(西安科技路支行),金融保险服务,银行,汇丰银行,科技路50号金桥国际广场2-10104单元,陕西省,西安市,雁塔区,108.888074,34.23732768
交通银行24小时自助银行(西安科技路支行),金融保险服务,自动提款机,交通银行ATM,科技路48号创业广场A栋,陕西省,西安市,雁塔区,108.8895158,34.23697532
中国农业银行24小时自助银行(科技路分理处),金融保险服务,自动提款机,中国农业银行ATM,科技北路48号附近,陕西省,西安市,雁塔区,108.8892688,34.23698924
交通银行ATM(西安枫林路支行),金融保险服务,自动提款机,交通银行ATM,唐兴路与枫林路交叉口西南50米,陕西省,西安市,雁塔区,108.8875353,34.23409867
陕西省国际信托股份有限公司(科技路),金融保险服务,金融保险服务机构,金融保险机构,科技路50号金桥国际广场C座24-27层,陕西省,西安市,雁塔区,108.887954,34.23760253
招商银行24小时自助银行(西安科技路支行),金融保险服务,自动提款机,招商银行ATM,沣惠南路4号杰座广场,陕西省,西安市,雁塔区,108.8823219,34.23837841
第一创业证券(西安唐延路证券营业部),金融保险服务,金融保险服务机构,金融保险机构,旺座国际城B座2302室,陕西省,西安市,雁塔区,108.8861851,34.23831352
广州证券西安营业部,金融保险服务,证券公司,证券公司,高新区科技路48号创业广场B座405、406室,陕西省,西安市,雁塔区,108.8889709,34.23703012
秦农银行24小时自助银行(科技路支行),金融保险服务,自动提款机,农村商业银行ATM,高新四路195号世纪颐园,陕西省,西安市,雁塔区,108.8900296,34.23755027
中国光大银行24小时自助银行(西安高新技术开发区支行),金融保险服务,自动提款机,中国光大银行ATM,"高新区科技路195号世纪颐园D座1,2层",陕西省,西安市,雁塔区,108.8891688,34.23794585
新叶财务,金融保险服务,金融保险服务机构,金融保险机构,高新区高新五路2号创新数码时空2楼,陕西省,西安市,雁塔区,108.8874073,34.23408662
顶华通路价值创业投资(西安)企业,金融保险服务,金融保险服务机构,金融保险机构,科技路48号创业广场B栋9层B902,陕西省,西安市,雁塔区,108.8891819,34.23669932
西安力邦企业投资有限公司,金融保险服务,金融保险服务机构,金融保险机构,科技路48号创业广场B栋6层B609,陕西省,西安市,雁塔区,108.8891819,34.23669932
五矿证券,金融保险服务,证券公司,证券公司,高新区科技路创业广场A座3层A0305室,陕西省,西安市,雁塔区,108.8896837,34.23678445
农村商业银行24小时自助银行(科技路信用社),金融保险服务,自动提款机,农村商业银行ATM,科技北路197号附近,陕西省,西安市,雁塔区,108.8900636,34.23784017
达飞云贷,金融保险服务,金融保险服务机构,金融保险机构,科技路延平门地铁站杰座新天地9楼,陕西省,西安市,雁塔区,108.882727,34.23823571
信东财富,金融保险服务,金融保险服务机构,金融保险机构,科技路195号世纪颐园a座24层,陕西省,西安市,雁塔区,108.8907274,34.23823621
秦农银行(科技路支行),金融保险服务,银行,农村商业银行,科技路195号世纪颐园,陕西省,西安市,雁塔区,108.8899986,34.23761124
雁塔区赵家坡ATM扫黄打非工作站,金融保险服务,自动提款机,自动提款机,高新四路135号附近,陕西省,西安市,雁塔区,108.8896845,34.2401272
中国银行ATM(嘉龙大厦西),金融保险服务,自动提款机,中国银行ATM,,陕西省,西安市,莲湖区,108.890933,34.24172296
西安市地下综合管廊投资管理有限责任公司,金融保险服务,金融保险服务机构,金融保险机构,高新区科技路48号创业广场B座26层,陕西省,西安市,雁塔区,108.8890159,34.23687919
招商银行24小时自助银行(唐延国际中心西南),金融保险服务,自动提款机,招商银行ATM,沣惠南路17号附近,陕西省,西安市,雁塔区,108.8833425,34.23304
西安投融资担保有限公司高新业务部,金融保险服务,金融保险服务机构,金融保险机构,科技路与高新四路交叉口西北100米,陕西省,西安市,雁塔区,108.8900676,34.23761626
