名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_L纬度
广客缘超市(芦溪商贸中心),购物服务,超级市场,超市,205省道府州瓦块烧旁,四川省,绵阳市,三台县,104.8831278,31.26973949
千家惠超市,购物服务,超级市场,超市,涪城街与花园街交叉口东北150米,四川省,绵阳市,三台县,104.9365489,31.27693047
517超市批发零售,购物服务,超级市场,超市,小夫路与福康路北段交叉口西南50米,四川省,德阳市,什邡市,103.9753773,31.25860869
京东网购代客下单点,购物服务,超级市场,超市,亭林路与广济路交叉口东50米,四川省,德阳市,绵竹市,104.0626928,31.26005248
均艺超市,购物服务,超级市场,超市,孝泉镇高兴街203号,四川省,德阳市,绵竹市,104.2745054,31.2570467
古月超市,购物服务,超级市场,超市,河黄路东50米,四川省,德阳市,旌阳区,104.4081013,31.2604004
鑫龙超市,购物服务,超级市场,超市,河黄路东50米,四川省,德阳市,旌阳区,104.409066,31.26551565
鑫健超市,购物服务,超级市场,超市,河黄路东50米,四川省,德阳市,旌阳区,104.408213,31.26615304
三三超市(新盛.店),购物服务,超级市场,超市,子汉路北50米,四川省,德阳市,罗江区,104.6381614,31.26679186
三三超市罗江新盛镇农村商贸中心,购物服务,超级市场,超市,新盛镇子汉路中国邮政旁,四川省,德阳市,罗江区,104.6381614,31.26679685
宏伟商场,购物服务,商场,普通商场,洛水路与通济路交叉口东南150米,四川省,德阳市,什邡市,104.0522749,31.24811611
雷家超市,购物服务,超级市场,超市,大安路与通济路交叉口西50米,四川省,德阳市,什邡市,104.0526071,31.24983674
乐购生活购物中心,购物服务,超级市场,超市,导洛路附近,四川省,德阳市,什邡市,104.0549767,31.24713856
美宜佳超市,购物服务,超级市场,超市,杨春路与通济路交叉口西北100米,四川省,德阳市,什邡市,104.0497352,31.24858384
易金都超市,购物服务,超级市场,超市,导洛路与洛水路交叉口北100米,四川省,德阳市,什邡市,104.0546025,31.24731216
好美多超市(玉泉店),购物服务,超级市场,超市,玉江路与玉泉路交叉口西北50米,四川省,德阳市,绵竹市,104.1337477,31.2542502
安安商业广场,购物服务,商场,商场,孝泉镇,四川省,德阳市,旌阳区,104.2769557,31.25099376
旺旺超市,购物服务,超级市场,超市,万源路与高兴街交叉口西50米,四川省,德阳市,绵竹市,104.2748599,31.25684343
世纪华联超市(孝泉店),购物服务,超级市场,超市,孝泉镇新街8号,四川省,德阳市,旌阳区,104.2801842,31.2503894
安安世纪购物中心,购物服务,超级市场,超市,德新镇东街西路一段29号,四川省,德阳市,旌阳区,104.3543234,31.24994016
佳丽超市,购物服务,超级市场,超市,德新镇沿河北路11号(德新中学旁),四川省,德阳市,旌阳区,104.3537796,31.25263987
鑫源超市,购物服务,超级市场,超市,德新镇西街,四川省,德阳市,旌阳区,104.352026,31.24860246
鸿发利民超市,购物服务,超级市场,超市,河黄路东50米,四川省,德阳市,旌阳区,104.4076937,31.25450975
兴欢超市,购物服务,超级市场,超市,华龙街164号附近,四川省,德阳市,罗江区,104.5174793,31.24907156
阳光盛源超市(黄鹿店),购物服务,超级市场,超市,储粮街与罗桂公路交叉口东北50米,四川省,德阳市,中江县,104.7025547,31.25127451
曾花椒百姓超市,购物服务,超级市场,超市,黄鹿镇东街与西街交叉口北50米,四川省,德阳市,中江县,104.7018875,31.2536275
